Date/Time CET/CEST;Date/Time UTC;MBA;Imbalance Purchase Price [EUR/MWh];Imbalance Sales Price [EUR/MWh];Up Regulation Price [EUR/MWh];Down Regulation Price [EUR/MWh];Imbalance and Spot Price Difference [EUR/MWh];Value of Avoided Activation;Incentivising Component;Dominating Direction of Regulation Power per MBA
01.01.2023/00:00;31.12.2022/23:00;SE3;-6,72;-6,72;2,01;-6,72;-8,73;;;-1
01.01.2023/01:00;01.01.2023/00:00;SE3;1,38;1,38;1,38;1,38;0;1,62;-0,24;0
01.01.2023/02:00;01.01.2023/01:00;SE3;-6;-6;0,09;-6;-6,09;;;-1
01.01.2023/03:00;01.01.2023/02:00;SE3;-6;-6;0,08;-6;-6,08;;;-1
01.01.2023/04:00;01.01.2023/03:00;SE3;-6;-6;0,05;-6;-6,05;;;-1
01.01.2023/05:00;01.01.2023/04:00;SE3;-0,4;-0,4;0,08;-0,4;-0,48;;;-1
01.01.2023/06:00;01.01.2023/05:00;SE3;-2,5;-2,5;0,09;-2,5;-2,59;;;-1
01.01.2023/07:00;01.01.2023/06:00;SE3;-5;-5;0,53;-5;-5,53;;;-1
01.01.2023/08:00;01.01.2023/07:00;SE3;-5;-5;2,03;-5;-7,03;;;-1
01.01.2023/09:00;01.01.2023/08:00;SE3;-7;-7;3,1;-7;-10,1;;;-1
01.01.2023/10:00;01.01.2023/09:00;SE3;-7;-7;4,43;-7;-11,43;;;-1
01.01.2023/11:00;01.01.2023/10:00;SE3;-7;-7;6,06;-7;-13,06;;;-1
01.01.2023/12:00;01.01.2023/11:00;SE3;-5;-5;6,06;-5;-11,06;;;-1
01.01.2023/13:00;01.01.2023/12:00;SE3;-5;-5;5,68;-5;-10,68;;;-1
01.01.2023/14:00;01.01.2023/13:00;SE3;0,45;0,45;17,71;0,45;-17,26;;;-1
01.01.2023/15:00;01.01.2023/14:00;SE3;9,51;9,51;24,11;9,51;-14,6;;;-1
01.01.2023/16:00;01.01.2023/15:00;SE3;132,2;132,2;132,2;36,54;95,66;;;1
01.01.2023/17:00;01.01.2023/16:00;SE3;150;150;150;46,03;103,97;;;1
01.01.2023/18:00;01.01.2023/17:00;SE3;150;150;150;54,23;95,77;;;1
01.01.2023/19:00;01.01.2023/18:00;SE3;100;100;100;31;46,37;;;1
01.01.2023/20:00;01.01.2023/19:00;SE3;29;29;48,05;29;-19,05;;;-1
01.01.2023/21:00;01.01.2023/20:00;SE3;44,68;44,68;44,68;44,68;0;44,43;0,25;0
01.01.2023/22:00;01.01.2023/21:00;SE3;45,96;45,96;45,96;45,96;0;45,89;0,07;0
01.01.2023/23:00;01.01.2023/22:00;SE3;35;35;35;35;0;34,93;0,07;0
02.01.2023/00:00;01.01.2023/23:00;SE3;57,91;57,91;57,91;57,91;0;58,09;-0,18;0
02.01.2023/01:00;02.01.2023/00:00;SE3;76,43;76,43;76,43;51,67;24,76;;;1
02.01.2023/02:00;02.01.2023/01:00;SE3;85,63;85,63;85,63;52,86;32,77;;;1
02.01.2023/03:00;02.01.2023/02:00;SE3;32,27;32,27;44,16;32,27;-11,89;;;-1
02.01.2023/04:00;02.01.2023/03:00;SE3;50,08;50,08;50,08;50,08;0;50,26;-0,18;0
02.01.2023/05:00;02.01.2023/04:00;SE3;70,73;70,73;70,73;70,73;0;70,78;-0,05;0
02.01.2023/06:00;02.01.2023/05:00;SE3;43;43;102,56;43;-59,56;;;-1
02.01.2023/07:00;02.01.2023/06:00;SE3;138,19;138,19;138,19;77;0;133,75;4,44;1
02.01.2023/08:00;02.01.2023/07:00;SE3;145,98;145,98;145,98;145,98;0;146,04;-0,06;0
02.01.2023/09:00;02.01.2023/08:00;SE3;125;125;147,05;125;-22,05;;;-1
02.01.2023/10:00;02.01.2023/09:00;SE3;115,09;115,09;145,61;115,09;-30,52;;;-1
02.01.2023/11:00;02.01.2023/10:00;SE3;153,5;153,5;153,5;120;10,15;;;1
02.01.2023/12:00;02.01.2023/11:00;SE3;175;175;175;144,38;30,62;;;1
02.01.2023/13:00;02.01.2023/12:00;SE3;160;160;160;143,76;16,24;;;1
02.01.2023/14:00;02.01.2023/13:00;SE3;122;122;148,2;122;-26,2;;;-1
02.01.2023/15:00;02.01.2023/14:00;SE3;128;128;155,34;128;-27,34;;;-1
02.01.2023/16:00;02.01.2023/15:00;SE3;162,89;162,89;162,89;162,89;0;;;0
02.01.2023/17:00;02.01.2023/16:00;SE3;175,01;175,01;175,01;170;5,01;;;1
02.01.2023/18:00;02.01.2023/17:00;SE3;189;189;189;174,74;14,26;;;1
02.01.2023/19:00;02.01.2023/18:00;SE3;164,46;164,46;164,46;164,46;0;164,34;0,12;0
02.01.2023/20:00;02.01.2023/19:00;SE3;153;153;153;153;0;;;0
02.01.2023/21:00;02.01.2023/20:00;SE3;128;128;141,67;128;-13,67;;;-1
02.01.2023/22:00;02.01.2023/21:00;SE3;53,79;53,79;131,67;53,79;-77,88;;;-1
02.01.2023/23:00;02.01.2023/22:00;SE3;53,79;53,79;118,06;53,79;-64,27;;;-1
03.01.2023/00:00;02.01.2023/23:00;SE3;114,5;114,5;114,5;78,81;35,69;;;1
03.01.2023/01:00;03.01.2023/00:00;SE3;118,74;118,74;118,74;73,93;44,81;;;1
03.01.2023/02:00;03.01.2023/01:00;SE3;108,5;108,5;108,5;73,94;34,56;;;1
03.01.2023/03:00;03.01.2023/02:00;SE3;71,44;71,44;71,44;71,44;0;71,49;-0,05;0
03.01.2023/04:00;03.01.2023/03:00;SE3;103;103;103;72,33;30,67;;;1
03.01.2023/05:00;03.01.2023/04:00;SE3;77,14;77,14;77,14;77,14;0;77,19;-0,05;0
03.01.2023/06:00;03.01.2023/05:00;SE3;152;152;152;102,48;49,52;;;1
03.01.2023/07:00;03.01.2023/06:00;SE3;210;210;210;154,96;55,04;;;1
03.01.2023/08:00;03.01.2023/07:00;SE3;210;210;210;163,92;46,08;;;1
03.01.2023/09:00;03.01.2023/08:00;SE3;199;199;199;167,07;31,93;;;1
03.01.2023/10:00;03.01.2023/09:00;SE3;197;197;197;168,57;28,43;;;1
03.01.2023/11:00;03.01.2023/10:00;SE3;196;196;196;169,49;26,51;;;1
03.01.2023/12:00;03.01.2023/11:00;SE3;184,5;184,5;184,5;164,5;20;;;1
03.01.2023/13:00;03.01.2023/12:00;SE3;180;180;180;160,91;19,09;;;1
03.01.2023/14:00;03.01.2023/13:00;SE3;201;201;201;163,06;37,94;;;1
03.01.2023/15:00;03.01.2023/14:00;SE3;200;200;200;167,73;32,27;;;1
03.01.2023/16:00;03.01.2023/15:00;SE3;197;197;197;166,61;30,39;;;1
03.01.2023/17:00;03.01.2023/16:00;SE3;250;250;250;170,72;79,28;;;1
03.01.2023/18:00;03.01.2023/17:00;SE3;250;250;250;168,93;81,07;;;1
03.01.2023/19:00;03.01.2023/18:00;SE3;160,99;160,99;160,99;160,99;0;;;0
03.01.2023/20:00;03.01.2023/19:00;SE3;149,62;149,62;149,62;149,62;0;149,49;0,13;0
03.01.2023/21:00;03.01.2023/20:00;SE3;131,05;131,05;131,05;131,05;0;131,05;0;0
03.01.2023/22:00;03.01.2023/21:00;SE3;122,62;122,62;122,62;114,27;8,35;;;1
03.01.2023/23:00;03.01.2023/22:00;SE3;122,6;122,6;122,6;93,66;28,94;;;1
04.01.2023/00:00;03.01.2023/23:00;SE3;105;105;105;82,88;22,12;;;1
04.01.2023/01:00;04.01.2023/00:00;SE3;105;105;105;78,84;26,16;;;1
04.01.2023/02:00;04.01.2023/01:00;SE3;99,73;99,73;99,73;69,93;29,8;;;1
04.01.2023/03:00;04.01.2023/02:00;SE3;82,07;82,07;82,07;69,26;12,81;;;1
04.01.2023/04:00;04.01.2023/03:00;SE3;58;58;71,75;58;-13,75;;;-1
04.01.2023/05:00;04.01.2023/04:00;SE3;45;45;81,73;45;-36,73;;;-1
04.01.2023/06:00;04.01.2023/05:00;SE3;99,99;99,99;99,99;80,11;19,88;;;1
04.01.2023/07:00;04.01.2023/06:00;SE3;137,5;137,5;137,5;83,33;54,17;;;1
04.01.2023/08:00;04.01.2023/07:00;SE3;137,5;137,5;137,5;86,27;51,23;;;1
04.01.2023/09:00;04.01.2023/08:00;SE3;154,34;154,34;154,34;85,37;68,97;;;1
04.01.2023/10:00;04.01.2023/09:00;SE3;154,34;154,34;154,34;75,95;78,39;;;1
04.01.2023/11:00;04.01.2023/10:00;SE3;140,28;140,28;140,28;81,71;58,57;;;1
04.01.2023/12:00;04.01.2023/11:00;SE3;154;154;154;80,89;73,11;;;1
04.01.2023/13:00;04.01.2023/12:00;SE3;157;157;157;79,72;77,28;;;1
04.01.2023/14:00;04.01.2023/13:00;SE3;157;157;157;80,22;76,78;;;1
04.01.2023/15:00;04.01.2023/14:00;SE3;155,5;155,5;155,5;79,74;75,76;;;1
04.01.2023/16:00;04.01.2023/15:00;SE3;145;145;145;80,82;64,18;;;1
04.01.2023/17:00;04.01.2023/16:00;SE3;86,16;86,16;86,16;86,16;0;;;0
04.01.2023/18:00;04.01.2023/17:00;SE3;145;145;145;72,28;72,72;;;1
04.01.2023/19:00;04.01.2023/18:00;SE3;120;120;120;66,61;53,39;;;1
04.01.2023/20:00;04.01.2023/19:00;SE3;135;135;135;62,13;72,87;;;1
04.01.2023/21:00;04.01.2023/20:00;SE3;123,48;123,48;123,48;57,26;66,22;;;1
04.01.2023/22:00;04.01.2023/21:00;SE3;90;90;90;37,94;52,06;;;1
04.01.2023/23:00;04.01.2023/22:00;SE3;108;108;108;30,82;77,18;;;1
05.01.2023/00:00;04.01.2023/23:00;SE3;110,5;110,5;110,5;30,03;80,47;;;1
05.01.2023/01:00;05.01.2023/00:00;SE3;74,5;74,5;74,5;28,15;46,35;;;1
05.01.2023/02:00;05.01.2023/01:00;SE3;77,02;77,02;77,02;27,68;49,34;;;1
05.01.2023/03:00;05.01.2023/02:00;SE3;74,34;74,34;74,34;27,76;46,58;;;1
05.01.2023/04:00;05.01.2023/03:00;SE3;52,5;52,5;52,5;28,63;23,87;;;1
05.01.2023/05:00;05.01.2023/04:00;SE3;39,8;39,8;39,8;39,8;0;39,65;0,15;0
