Date/Time CET/CEST;Date/Time UTC;MBA;Production Total [MWh];Hydro [MWh];Nuclear [MWh];Solar [MWh];Thermal [MWh];Wind Onshore [MWh];Wind Offshore [MWh];Energy Storage [MWh];Other [MWh]
01.01.2023/00:00;31.12.2022/23:00;SE3;7722,265954;585,999361;5814,29;0,130857;381,260361;939,74933;0;0;0,836045
01.01.2023/01:00;01.01.2023/00:00;SE3;7542,774518;552,943012;5815,33;0,137106;368,276456;805,022858;0;0;1,065086
01.01.2023/02:00;01.01.2023/01:00;SE3;7397,538926;570,666147;5814,82;0,136899;371,513698;639,192638;0;0;1,209544
01.01.2023/03:00;01.01.2023/02:00;SE3;7270,965005;553,993655;5814,36;0,123864;381,973084;519,089604;0;0;1,424798
01.01.2023/04:00;01.01.2023/03:00;SE3;7199,878522;568,091364;5814,09;0,134713;380,064569;436,054471;0;0;1,443405
01.01.2023/05:00;01.01.2023/04:00;SE3;7136,429783;542,955435;5814,92;0,17421;386,331704;390,809608;0;0;1,238826
01.01.2023/06:00;01.01.2023/05:00;SE3;7169,28897;557,609371;5815,31;0,195244;381,234163;414,008282;0;0;0,93191
01.01.2023/07:00;01.01.2023/06:00;SE3;7236,206861;574,890001;5814,81;0,237505;376,943945;468,9712;0;0;0,35421
01.01.2023/08:00;01.01.2023/07:00;SE3;7353,613906;590,108404;5815,22;0,316623;372,444985;575,323704;0;0;0,20019
01.01.2023/09:00;01.01.2023/08:00;SE3;7471,050975;593,151332;5814,7;1,358428;382,953266;678,667914;0;0;0,220035
01.01.2023/10:00;01.01.2023/09:00;SE3;7585,015568;605,771506;5814,57;9,544575;401,691452;753,197128;0;0;0,240907
01.01.2023/11:00;01.01.2023/10:00;SE3;7573,880976;611,51326;5814,62;12,252984;412,978941;722,275877;0;0;0,239914
01.01.2023/12:00;01.01.2023/11:00;SE3;7619,049734;615,560146;5814,18;9,537745;433,775788;745,77904;0;0;0,217015
01.01.2023/13:00;01.01.2023/12:00;SE3;7541,962917;634,387877;5813,3;3,874662;488,226643;602,005785;0;0;0,16795
01.01.2023/14:00;01.01.2023/13:00;SE3;7498,597611;651,700636;5813,95;1,376457;552,012194;479,37964;0;0;0,178684
01.01.2023/15:00;01.01.2023/14:00;SE3;7498,485935;705,592811;5813,99;0,336779;640,825216;337,558885;0;0;0,182244
01.01.2023/16:00;01.01.2023/15:00;SE3;7493,316974;764,647466;5814,11;0,240655;582,826364;331,340369;0;0;0,15212
01.01.2023/17:00;01.01.2023/16:00;SE3;7573,899391;796,494191;5813,75;0,247232;612,30427;350,9598;0;0;0,143898
01.01.2023/18:00;01.01.2023/17:00;SE3;7625,561129;790,266255;5813,42;0,236746;621,259159;400,241339;0;0;0,13763
01.01.2023/19:00;01.01.2023/18:00;SE3;7635,403795;735,220523;5813,02;0,200829;606,819957;479,95613;0;0;0,186356
01.01.2023/20:00;01.01.2023/19:00;SE3;7618,964391;710,11653;5812,69;0,160212;560,52281;535,254778;0;0;0,220061
01.01.2023/21:00;01.01.2023/20:00;SE3;7701,537161;701,800387;5814,11;0,147285;562,404619;622,816443;0;0;0,258427
01.01.2023/22:00;01.01.2023/21:00;SE3;7855,51613;687,648447;5813,59;0,145114;554,253537;799,605185;0;0;0,273847
01.01.2023/23:00;01.01.2023/22:00;SE3;7977,917226;664,462412;5812,54;0,132907;547,374189;953,129586;0;0;0,278132
02.01.2023/00:00;01.01.2023/23:00;SE3;8141,940599;648,467461;5813,54;0,146184;541,009598;1138,485869;0;0;0,291487
02.01.2023/01:00;02.01.2023/00:00;SE3;8166,113417;643,13013;5812,25;0,13392;560,023271;1150,280158;0;0;0,295938
