Date/Time CET/CEST;Date/Time UTC;MBA;Consumption Total [MWh];Metered [MWh];Profiled [MWh];Flex-settled [MWh]
01.01.2023/00:00;31.12.2022/23:00;SE3;-8825,641945;-5897,243851;-2928,398094;0
01.01.2023/01:00;01.01.2023/00:00;SE3;-8788,012122;-5906,991787;-2881,020335;0
01.01.2023/02:00;01.01.2023/01:00;SE3;-8716,460845;-5881,718768;-2834,742077;0
01.01.2023/03:00;01.01.2023/02:00;SE3;-8635,898259;-5870,05789;-2765,840369;0
01.01.2023/04:00;01.01.2023/03:00;SE3;-8590,994956;-5852,4445;-2738,550456;0
01.01.2023/05:00;01.01.2023/04:00;SE3;-8602,754607;-5847,486419;-2755,268188;0
01.01.2023/06:00;01.01.2023/05:00;SE3;-8688,027188;-5887,530595;-2800,496593;0
01.01.2023/07:00;01.01.2023/06:00;SE3;-8876,481147;-5997,971093;-2878,510054;0
01.01.2023/08:00;01.01.2023/07:00;SE3;-9083,639041;-6096,039301;-2987,59974;0
01.01.2023/09:00;01.01.2023/08:00;SE3;-9284,424251;-6149,065977;-3135,358274;0
01.01.2023/10:00;01.01.2023/09:00;SE3;-9556,49787;-6232,224304;-3324,273566;0
01.01.2023/11:00;01.01.2023/10:00;SE3;-9838,984208;-6379,079184;-3459,905024;0
01.01.2023/12:00;01.01.2023/11:00;SE3;-9993,601912;-6443,352485;-3550,249427;0
01.01.2023/13:00;01.01.2023/12:00;SE3;-10201,130365;-6581,940519;-3619,189846;0
01.01.2023/14:00;01.01.2023/13:00;SE3;-10339,003822;-6648,873486;-3690,130336;0
01.01.2023/15:00;01.01.2023/14:00;SE3;-10625,583904;-6754,79819;-3870,785714;0
01.01.2023/16:00;01.01.2023/15:00;SE3;-11020,944545;-6948,567433;-4072,377112;0
01.01.2023/17:00;01.01.2023/16:00;SE3;-11097,56794;-6927,038591;-4170,529349;0
01.01.2023/18:00;01.01.2023/17:00;SE3;-11074,299986;-6900,020601;-4174,279385;0
01.01.2023/19:00;01.01.2023/18:00;SE3;-10967,554964;-6888,052418;-4079,502546;0
01.01.2023/20:00;01.01.2023/19:00;SE3;-10735,313944;-6801,007185;-3934,306759;0
01.01.2023/21:00;01.01.2023/20:00;SE3;-10416,21096;-6649,877177;-3766,333783;0
01.01.2023/22:00;01.01.2023/21:00;SE3;-10169,874358;-6591,591467;-3578,282891;0
01.01.2023/23:00;01.01.2023/22:00;SE3;-9835,341526;-6457,956486;-3377,38504;0
02.01.2023/00:00;01.01.2023/23:00;SE3;-9567,852568;-6348,67566;-3219,176908;0
02.01.2023/01:00;02.01.2023/00:00;SE3;-9378,555536;-6285,146936;-3093,4086;0
02.01.2023/02:00;02.01.2023/01:00;SE3;-9211,037327;-6199,620015;-3011,417312;0
02.01.2023/03:00;02.01.2023/02:00;SE3;-9092,149503;-6142,830306;-2949,319197;0
02.01.2023/04:00;02.01.2023/03:00;SE3;-9119,731005;-6186,850422;-2932,880583;0
